Pathway.name,Unique.genes,Phosphoproteomics,PhosphoproteomicsFDR_BH,Proteomics,ProteomicsFDR_BH,Transcriptomics,TranscriptomicsFDR_BH,Combined,CombinedFDR_BH,Contrast
SNARE interactions in vesicular transport,33,0.509698964,1,0.805067887,1.00E+00,0.858904264,1,0.838580157,1,X1O2PlusCyA - X19O2NoCyA
Adherens junction,63,0.58177829,1,0.883908258,1.00E+00,0.688382772,1,0.864456574,1,X1O2PlusCyA - X19O2NoCyA
Nitrogen metabolism,8,NA,NA,1,1.00E+00,0.62448511,1,0.999999991,1,X1O2PlusCyA - X19O2NoCyA
Longevity regulating pathway,73,0.730998548,1,0.971127242,1.00E+00,0.518673242,1,0.950965248,1,X1O2PlusCyA - X19O2NoCyA
Thyroid cancer,30,0.90792808,1,0.949011311,1.00E+00,0.428473358,1,0.968798045,1,X1O2PlusCyA - X19O2NoCyA
Hypertrophic cardiomyopathy,48,1,1,0.79988948,1.00E+00,0.466977176,1,0.999998599,1,X1O2PlusCyA - X19O2NoCyA
Collecting duct acid secretion,18,1,1,0.800324217,1.00E+00,0.467737437,1,0.999998611,1,X1O2PlusCyA - X19O2NoCyA
Porphyrin and chlorophyll metabolism,19,1,1,0.897436359,1.00E+00,0.418813198,1,0.999999555,1,X1O2PlusCyA - X19O2NoCyA
Homologous recombination,41,0.853899928,1,0.476689536,1.00E+00,0.93333186,1,0.890786386,1,X1O2PlusCyA - X19O2NoCyA
Phosphatidylinositol signaling system,84,0.757555814,1,0.54919043,1.00E+00,0.920369198,1,0.86000327,1,X1O2PlusCyA - X19O2NoCyA
Pathogenic Escherichia coli infection,162,0.454226982,1,0.978311627,1.00E+00,0.8634227,1,0.951415558,1,X1O2PlusCyA - X19O2NoCyA
Parkinson disease,211,0.441336806,1,0.879764072,1.00E+00,0.992797871,1,0.946099561,1,X1O2PlusCyA - X19O2NoCyA
Thermogenesis,190,0.858169418,1,0.45583679,1.00E+00,0.991672472,1,0.939788675,1,X1O2PlusCyA - X19O2NoCyA
Regulation of actin cytoskeleton,159,0.406315056,1,0.998364927,1.00E+00,0.985348937,1,0.995261111,1,X1O2PlusCyA - X19O2NoCyA
Arrhythmogenic right ventricular cardiomyopathy,40,1,1,0.420250615,1.00E+00,0.952766388,1,0.999998592,1,X1O2PlusCyA - X19O2NoCyA
Glucagon signaling pathway,85,0.880697879,1,0.587651886,1.00E+00,0.773929971,1,0.886101274,1,X1O2PlusCyA - X19O2NoCyA
Yersinia infection,114,0.418819051,1,0.987965691,1.00E+00,0.979586696,1,0.982944022,1,X1O2PlusCyA - X19O2NoCyA
mRNA surveillance pathway,83,0.472827596,1,0.999996214,1.00E+00,0.85967888,1,0.999478468,1,X1O2PlusCyA - X19O2NoCyA
Olfactory transduction,30,1,1,0.469953181,1.00E+00,0.877134793,1,0.999997544,1,X1O2PlusCyA - X19O2NoCyA
Spliceosome,133,0.412603663,1,0.999970385,1.00E+00,0.999999928,1,0.999996424,1,X1O2PlusCyA - X19O2NoCyA
Renin-angiotensin system,10,1,1,0.551476557,1.00E+00,0.748421233,1,0.999996794,1,X1O2PlusCyA - X19O2NoCyA
D-Glutamine and D-glutamate metabolism,4,NA,NA,1,1.00E+00,0.677883588,1,0.999999994,1,X1O2PlusCyA - X19O2NoCyA
Arginine biosynthesis,17,NA,NA,0.898604789,1.00E+00,0.754890599,1,0.92611165,1,X1O2PlusCyA - X19O2NoCyA
PD-L1 expression and PD-1 checkpoint pathway in cancer,78,0.717837475,1,0.996195874,1.00E+00,0.593587367,1,0.986189086,1,X1O2PlusCyA - X19O2NoCyA
Proteoglycans in cancer,149,0.856348993,1,0.561142698,1.00E+00,0.886961174,1,0.89684363,1,X1O2PlusCyA - X19O2NoCyA
Circadian entrainment,60,0.509698964,1,0.984870146,1.00E+00,0.849355737,1,0.965722872,1,X1O2PlusCyA - X19O2NoCyA
Inositol phosphate metabolism,67,0.793410464,1,0.560338285,1.00E+00,0.971351439,1,0.91423437,1,X1O2PlusCyA - X19O2NoCyA
Herpes simplex virus 1 infection,433,0.839373918,1,0.748177385,1.00E+00,0.687767448,1,0.898523409,1,X1O2PlusCyA - X19O2NoCyA
Systemic lupus erythematosus,96,0.795637237,1,0.615813601,1.00E+00,0.88924101,1,0.885657104,1,X1O2PlusCyA - X19O2NoCyA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,14,NA,NA,1,1.00E+00,0.709203007,1,0.999999996,1,X1O2PlusCyA - X19O2NoCyA
Glutamatergic synapse,74,0.509698964,1,0.959458782,1.00E+00,0.945224555,1,0.961244585,1,X1O2PlusCyA - X19O2NoCyA
Adipocytokine signaling pathway,54,1,1,0.571649885,1.00E+00,0.812707489,1,0.999998169,1,X1O2PlusCyA - X19O2NoCyA
Human immunodeficiency virus 1 infection,175,0.70914565,1,0.794375925,1.00E+00,0.832807659,1,0.897361952,1,X1O2PlusCyA - X19O2NoCyA
Amoebiasis,59,1,1,0.838698859,1.00E+00,0.561831339,1,0.99999945,1,X1O2PlusCyA - X19O2NoCyA
Aldosterone-regulated sodium reabsorption,27,0.733555144,1,0.897436359,1.00E+00,0.723115545,1,0.927836135,1,X1O2PlusCyA - X19O2NoCyA
Vascular smooth muscle contraction,81,0.58177829,1,0.995730708,1.00E+00,0.822657003,1,0.986097547,1,X1O2PlusCyA - X19O2NoCyA
Longevity regulating pathway - multiple species,48,0.985799988,1,0.97369099,1.00E+00,0.500618643,1,0.996493411,1,X1O2PlusCyA - X19O2NoCyA
Alcoholism,140,0.717837475,1,0.97818211,1.00E+00,0.726019769,1,0.972554563,1,X1O2PlusCyA - X19O2NoCyA
Morphine addiction,46,0.652700927,1,0.975846124,1.00E+00,0.814919931,1,0.970293293,1,X1O2PlusCyA - X19O2NoCyA
Pyrimidine metabolism,45,0.587279116,1,0.932125375,1.00E+00,0.951096899,1,0.960044729,1,X1O2PlusCyA - X19O2NoCyA
Nicotine addiction,12,NA,NA,NA,NA,0.974910218,1,0.974910218,1,X1O2PlusCyA - X19O2NoCyA
Dilated cardiomyopathy,51,1,1,0.833673539,1.00E+00,0.664824993,1,0.999999654,1,X1O2PlusCyA - X19O2NoCyA
Inflammatory mediator regulation of TRP channels,64,0.90792808,1,0.943811196,1.00E+00,0.670009806,1,0.980833939,1,X1O2PlusCyA - X19O2NoCyA
Mismatch repair,23,0.655379398,1,0.886725159,1.00E+00,0.990203477,1,0.974208753,1,X1O2PlusCyA - X19O2NoCyA
Nucleotide excision repair,46,0.714209374,1,0.84395831,1.00E+00,0.958281598,1,0.954885916,1,X1O2PlusCyA - X19O2NoCyA
Type II diabetes mellitus,29,0.795637237,1,0.935442161,1.00E+00,0.785908657,1,0.966558646,1,X1O2PlusCyA - X19O2NoCyA
Ribosome biogenesis in eukaryotes,80,0.603951061,1,0.978114565,1.00E+00,0.99225412,1,0.99212706,1,X1O2PlusCyA - X19O2NoCyA
Retrograde endocannabinoid signaling,94,1,1,0.714041398,1.00E+00,0.859788519,1,0.999999635,1,X1O2PlusCyA - X19O2NoCyA
Shigellosis,215,0.714097834,1,0.983227443,1.00E+00,0.878670121,1,0.986139193,1,X1O2PlusCyA - X19O2NoCyA
Epithelial cell signaling in Helicobacter pylori infection,60,0.929452381,1,0.940255122,1.00E+00,0.727620142,1,0.986424296,1,X1O2PlusCyA - X19O2NoCyA
Cytosolic DNA-sensing pathway,41,0.655379398,1,0.990815347,1.00E+00,0.982302445,1,0.995393794,1,X1O2PlusCyA - X19O2NoCyA
Folate biosynthesis,15,1,1,0.69643547,1.00E+00,0.933044635,1,0.999999813,1,X1O2PlusCyA - X19O2NoCyA
Platelet activation,90,0.877910949,1,0.999767899,1.00E+00,0.742800709,1,0.999496013,1,X1O2PlusCyA - X19O2NoCyA
Pentose and glucuronate interconversions,13,NA,NA,1,1.00E+00,0.867851401,1,0.999999999,1,X1O2PlusCyA - X19O2NoCyA
Bacterial invasion of epithelial cells,64,0.717837475,1,0.992654743,1.00E+00,0.950251118,1,0.995299598,1,X1O2PlusCyA - X19O2NoCyA
Maturity onset diabetes of the young,9,1,1,1,1.00E+00,0.691565986,1,1,1,X1O2PlusCyA - X19O2NoCyA
Base excision repair,33,0.764390925,1,0.924120914,1.00E+00,0.996294293,1,0.992548011,1,X1O2PlusCyA - X19O2NoCyA
Purine metabolism,99,0.806756698,1,0.983515827,1.00E+00,0.888423407,1,0.992282233,1,X1O2PlusCyA - X19O2NoCyA
Tight junction,133,0.927574798,1,0.977863082,1.00E+00,0.837692289,1,0.995875281,1,X1O2PlusCyA - X19O2NoCyA
Acute myeloid leukemia,56,0.788645762,1,0.968702138,1.00E+00,0.997981172,1,0.997761586,1,X1O2PlusCyA - X19O2NoCyA
Serotonergic synapse,65,0.843293616,1,0.99286034,1.00E+00,0.916587354,1,0.997321651,1,X1O2PlusCyA - X19O2NoCyA
RNA degradation,73,0.84454327,1,0.997852211,1.00E+00,0.93205798,1,0.999010726,1,X1O2PlusCyA - X19O2NoCyA
Primary bile acid biosynthesis,9,NA,NA,1,1.00E+00,0.94121856,1,1,1,X1O2PlusCyA - X19O2NoCyA
Basal transcription factors,42,0.871690326,1,0.990815347,1.00E+00,0.922481571,1,0.997621106,1,X1O2PlusCyA - X19O2NoCyA
Arachidonic acid metabolism,25,1,1,0.820177871,1.00E+00,0.972108601,1,0.999999981,1,X1O2PlusCyA - X19O2NoCyA
Neutrophil extracellular trap formation,138,0.952768946,1,0.996067711,1.00E+00,0.844982886,1,0.999344634,1,X1O2PlusCyA - X19O2NoCyA
Regulation of lipolysis in adipocytes,33,1,1,1,1.00E+00,0.812949961,1,1,1,X1O2PlusCyA - X19O2NoCyA
Ether lipid metabolism,27,1,1,0.864961424,1.00E+00,0.972108601,1,0.999999991,1,X1O2PlusCyA - X19O2NoCyA
DNA replication,36,0.968312721,1,0.986178072,1.00E+00,0.944269275,1,0.999444094,1,X1O2PlusCyA - X19O2NoCyA
RNA transport,162,0.94466125,1,0.999658137,1.00E+00,0.990528198,1,0.99998376,1,X1O2PlusCyA - X19O2NoCyA
Taste transduction,34,1,1,1,1.00E+00,0.946828461,1,1,1,X1O2PlusCyA - X19O2NoCyA
Phosphonate and phosphinate metabolism,5,1,1,1,1.00E+00,1,1,1,1,X1O2PlusCyA - X19O2NoCyA
Linoleic acid metabolism,9,NA,NA,NA,NA,1,1,1,1,X1O2PlusCyA - X19O2NoCyA
Biotin metabolism,3,NA,NA,NA,NA,1,1,1,1,X1O2PlusCyA - X19O2NoCyA
